14:11:35 [INFO] Log-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\doombot_20260416_141135.log
14:11:35 [INFO] Metrik-Datei: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\logs\metrics_20260416_141135.csv
14:11:35 [INFO] Lade YOLO-Modell: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\..\DoomDataset\model_weights\trainedyolo.pt
14:11:35 [INFO] Lade ViZDoom-Config: C:\Users\Joshu\OneDrive\Desktop\DoomAssets\Neuer Ordner\vizdoom_yolo\PythonScripts\custom_config.cfg
14:11:36 [INFO] ViZDoom initialisiert.
14:11:40 [DEBUG] Frame 94 | tic=386 | HP=100 | kein Target | action=idle | inf=18.0ms | 22.6 FPS
14:11:40 [DEBUG] Frame 95 | tic=390 | HP=100 | kein Target | action=idle | inf=18.3ms | 22.6 FPS
14:11:40 [DEBUG] Frame 96 | tic=394 | HP=100 | kein Target | action=idle | inf=18.5ms | 22.6 FPS
14:11:40 [DEBUG] Frame 97 | tic=398 | HP=100 | kein Target | action=idle | inf=15.4ms | 22.7 FPS
14:11:40 [DEBUG] Frame 98 | tic=402 | HP=100 | kein Target | action=idle | inf=18.5ms | 22.7 FPS
14:11:40 [DEBUG] Frame 99 | tic=406 | HP=100 | kein Target | action=idle | inf=17.6ms | 22.7 FPS
14:11:40 [DEBUG] Frame 100 | tic=410 | HP=100 | kein Target | action=idle | inf=16.9ms | 22.8 FPS
14:11:40 [DEBUG] Frame 101 | tic=414 | HP=100 | kein Target | action=idle | inf=17.7ms | 22.9 FPS
14:11:40 [DEBUG] Frame 102 | tic=418 | HP=100 | kein Target | action=idle | inf=18.5ms | 22.8 FPS
14:11:40 [DEBUG] Frame 103 | tic=422 | HP=100 | kein Target | action=idle | inf=18.3ms | 22.9 FPS
14:11:40 [DEBUG] Frame 104 | tic=426 | HP=100 | kein Target | action=idle | inf=17.7ms | 22.9 FPS
14:11:40 [DEBUG] Frame 105 | tic=430 | HP=100 | kein Target | action=idle | inf=15.7ms | 23.0 FPS
14:11:40 [DEBUG] Frame 106 | tic=434 | HP=100 | kein Target | action=idle | inf=18.0ms | 22.9 FPS
14:11:40 [DEBUG] Frame 107 | tic=438 | HP=100 | kein Target | action=idle | inf=17.8ms | 22.9 FPS
14:11:40 [DEBUG] Frame 108 | tic=442 | HP=100 | kein Target | action=idle | inf=17.7ms | 23.0 FPS
14:11:40 [DEBUG] Frame 109 | tic=446 | HP=100 | kein Target | action=idle | inf=17.8ms | 23.0 FPS
14:11:40 [DEBUG] Frame 110 | tic=450 | HP=100 | kein Target | action=idle | inf=17.7ms | 22.9 FPS
14:11:40 [DEBUG] Frame 111 | tic=454 | HP=100 | kein Target | action=idle | inf=17.7ms | 22.8 FPS
14:11:40 [DEBUG] Frame 112 | tic=458 | HP=100 | kein Target | action=idle | inf=17.9ms | 22.8 FPS
14:11:41 [DEBUG] Frame 113 | tic=462 | HP=100 | kein Target | action=idle | inf=17.9ms | 22.9 FPS
14:11:41 [DEBUG] Frame 114 | tic=466 | HP=100 | kein Target | action=idle | inf=16.4ms | 23.0 FPS
14:11:41 [DEBUG] Frame 115 | tic=470 | HP=100 | kein Target | action=idle | inf=18.3ms | 22.9 FPS
14:11:41 [DEBUG] Frame 116 | tic=474 | HP=100 | kein Target | action=idle | inf=18.5ms | 22.9 FPS
14:11:41 [DEBUG] Frame 117 | tic=478 | HP=100 | kein Target | action=idle | inf=18.1ms | 22.9 FPS
14:11:41 [DEBUG] Frame 118 | tic=482 | HP=100 | kein Target | action=idle | inf=18.8ms | 23.0 FPS
14:11:41 [DEBUG] Frame 119 | tic=486 | HP=100 | kein Target | action=idle | inf=18.3ms | 23.0 FPS
14:11:41 [DEBUG] Frame 120 | tic=490 | HP=100 | kein Target | action=idle | inf=19.6ms | 23.1 FPS
14:11:41 [DEBUG] Frame 121 | tic=494 | HP=100 | kein Target | action=idle | inf=18.9ms | 23.1 FPS
14:11:41 [DEBUG] Frame 122 | tic=498 | HP=100 | kein Target | action=idle | inf=18.1ms | 23.1 FPS
14:11:41 [DEBUG] Frame 123 | tic=502 | HP=100 | kein Target | action=idle | inf=18.8ms | 23.1 FPS
14:11:41 [DEBUG] Frame 124 | tic=506 | HP=100 | kein Target | action=idle | inf=18.9ms | 23.2 FPS
14:11:41 [DEBUG] Frame 125 | tic=510 | HP=100 | kein Target | action=idle | inf=18.4ms | 23.1 FPS
14:11:41 [DEBUG] Frame 126 | tic=514 | HP=100 | kein Target | action=idle | inf=20.2ms | 23.2 FPS
14:11:41 [DEBUG] Frame 127 | tic=518 | HP=100 | kein Target | action=idle | inf=19.1ms | 23.0 FPS
14:11:41 [DEBUG] Frame 128 | tic=522 | HP=100 | kein Target | action=idle | inf=18.8ms | 23.1 FPS
14:11:41 [DEBUG] Frame 129 | tic=526 | HP=100 | kein Target | action=idle | inf=18.2ms | 23.1 FPS
14:11:41 [DEBUG] Frame 130 | tic=530 | HP=100 | kein Target | action=idle | inf=35.7ms | 23.1 FPS
14:11:41 [DEBUG] Frame 131 | tic=534 | HP=100 | kein Target | action=idle | inf=21.2ms | 23.2 FPS
14:11:41 [DEBUG] Frame 132 | tic=538 | HP=100 | kein Target | action=idle | inf=19.8ms | 23.2 FPS
14:11:41 [DEBUG] Frame 133 | tic=542 | HP=100 | kein Target | action=idle | inf=17.5ms | 23.3 FPS
14:11:41 [DEBUG] Frame 134 | tic=546 | HP=100 | kein Target | action=idle | inf=18.6ms | 23.3 FPS
14:11:41 [DEBUG] Frame 135 | tic=550 | HP=100 | kein Target | action=idle | inf=18.4ms | 23.3 FPS
14:11:41 [DEBUG] Frame 136 | tic=554 | HP=100 | kein Target | action=idle | inf=17.8ms | 23.3 FPS
14:11:41 [DEBUG] Frame 137 | tic=558 | HP=100 | kein Target | action=idle | inf=16.8ms | 23.3 FPS
14:11:41 [DEBUG] Frame 138 | tic=562 | HP=100 | kein Target | action=idle | inf=17.7ms | 23.4 FPS
14:11:42 [DEBUG] Frame 139 | tic=566 | HP=100 | kein Target | action=idle | inf=17.8ms | 23.4 FPS
14:11:42 [DEBUG] Frame 140 | tic=570 | HP=100 | kein Target | action=idle | inf=17.8ms | 23.5 FPS
14:11:42 [DEBUG] Frame 141 | tic=574 | HP=100 | kein Target | action=idle | inf=17.2ms | 23.5 FPS
14:11:42 [DEBUG] Frame 142 | tic=578 | HP=100 | kein Target | action=idle | inf=15.4ms | 23.5 FPS
