frame_idx,episode,tic,inference_ms,num_detections,target_class,target_conf,target_score,action,health,fps
160,1,650,17.98,0,,,,idle,100.0,23.34
161,1,654,17.29,0,,,,idle,100.0,23.23
162,1,658,15.18,0,,,,idle,100.0,23.27
163,1,662,20.28,0,,,,idle,100.0,23.2
164,1,666,20.39,0,,,,idle,100.0,23.14
165,1,670,19.54,0,,,,idle,100.0,23.18
166,1,674,18.48,0,,,,idle,100.0,23.06
167,1,678,19.34,0,,,,idle,100.0,23.05
168,1,682,19.69,0,,,,idle,100.0,22.94
169,1,686,19.19,0,,,,idle,100.0,22.98
170,1,690,17.31,0,,,,idle,100.0,22.92
171,1,694,18.74,0,,,,idle,100.0,22.86
172,1,698,18.83,0,,,,idle,100.0,22.81
173,1,702,18.02,0,,,,idle,100.0,22.85
174,1,706,18.94,0,,,,idle,100.0,22.79
175,1,710,18.36,0,,,,idle,100.0,22.83
176,1,714,18.27,0,,,,idle,100.0,22.82
177,1,718,18.97,0,,,,idle,100.0,22.86
178,1,722,18.32,0,,,,idle,100.0,22.85
179,1,726,19.34,0,,,,idle,100.0,22.84
180,1,730,19.12,0,,,,idle,100.0,22.74
181,1,734,19.02,0,,,,idle,100.0,22.64
182,1,738,18.27,0,,,,idle,100.0,22.55
183,1,742,19.2,0,,,,idle,100.0,22.55
184,1,746,19.24,0,,,,idle,100.0,22.58
185,1,750,18.23,0,,,,idle,100.0,22.57
186,1,754,17.31,0,,,,idle,100.0,22.48
187,1,758,19.17,0,,,,idle,100.0,22.52
188,1,762,18.56,0,,,,idle,100.0,22.47
189,1,766,18.77,0,,,,idle,100.0,22.5
190,1,770,19.85,0,,,,idle,100.0,22.53
191,1,774,18.42,0,,,,idle,100.0,22.57
192,1,778,19.66,0,,,,idle,100.0,22.6
193,1,782,16.74,0,,,,idle,100.0,22.56
194,1,786,16.0,0,,,,idle,100.0,22.6
195,1,790,18.68,0,,,,idle,100.0,22.63
196,1,794,18.79,0,,,,idle,100.0,22.66
197,1,798,15.85,0,,,,idle,100.0,22.7
198,1,802,18.55,0,,,,idle,100.0,22.73
199,1,806,18.49,0,,,,idle,100.0,22.76
200,1,810,16.13,0,,,,idle,100.0,22.76
201,1,814,18.33,0,,,,idle,100.0,22.75
202,1,818,17.96,0,,,,idle,100.0,22.74
203,1,822,18.44,0,,,,idle,100.0,22.73
204,1,826,19.95,0,,,,idle,100.0,22.77
205,1,830,18.09,0,,,,idle,100.0,22.8
206,1,834,17.28,0,,,,idle,100.0,22.83
207,1,838,17.99,0,,,,idle,100.0,22.87
208,1,842,17.42,0,,,,idle,100.0,22.85
209,1,846,18.41,0,,,,idle,100.0,22.85
210,1,850,17.96,0,,,,idle,100.0,22.84
211,1,854,18.95,0,,,,idle,100.0,22.79
212,1,858,18.37,0,,,,idle,100.0,22.75
213,1,862,17.99,0,,,,idle,100.0,22.78
214,1,866,17.76,0,,,,idle,100.0,22.81
215,1,870,15.72,0,,,,idle,100.0,22.84
216,1,874,18.07,0,,,,idle,100.0,22.83
217,1,878,17.68,0,,,,idle,100.0,22.86
218,1,882,15.98,0,,,,idle,100.0,22.78
219,1,886,17.77,0,,,,idle,100.0,22.82
220,1,890,17.38,0,,,,idle,100.0,22.77
221,1,894,17.8,0,,,,idle,100.0,22.77
222,1,898,18.59,0,,,,idle,100.0,22.76
223,1,902,17.96,0,,,,idle,100.0,22.79
224,1,906,17.82,0,,,,idle,100.0,22.82
225,1,910,18.06,0,,,,idle,100.0,22.81
226,1,914,17.31,0,,,,idle,100.0,22.77
227,1,918,17.77,0,,,,idle,100.0,22.76
228,1,922,17.36,0,,,,idle,100.0,22.72
229,1,926,15.52,0,,,,idle,100.0,22.75
230,1,930,17.92,0,,,,idle,100.0,22.78
231,1,934,15.71,0,,,,idle,100.0,22.74
232,1,938,17.75,0,,,,idle,100.0,22.77
233,1,942,18.26,0,,,,idle,100.0,22.8
234,1,946,14.95,0,,,,idle,100.0,22.76
235,1,950,18.11,0,,,,idle,100.0,22.75
236,1,954,17.36,0,,,,idle,100.0,22.44
237,1,958,17.77,0,,,,idle,100.0,22.37
238,1,962,17.79,0,,,,idle,100.0,22.4
239,1,966,15.7,0,,,,idle,100.0,22.33
240,1,970,19.8,0,,,,idle,100.0,22.32
241,1,974,17.95,0,,,,idle,100.0,22.35
242,1,978,18.33,0,,,,idle,100.0,22.35
243,1,982,17.98,0,,,,idle,100.0,22.37
244,1,986,17.46,0,,,,idle,100.0,22.37
245,1,990,17.96,0,,,,idle,100.0,22.4
246,1,994,18.21,0,,,,idle,100.0,22.33
247,1,998,18.9,0,,,,idle,100.0,22.33
248,1,1002,17.73,0,,,,idle,100.0,22.35
249,1,1006,17.79,0,,,,idle,100.0,22.38
250,1,1010,17.99,0,,,,idle,100.0,22.38
251,1,1014,17.92,0,,,,idle,100.0,22.4
252,1,1018,17.81,0,,,,idle,100.0,22.43
253,1,1022,17.96,0,,,,idle,100.0,22.43
254,1,1026,18.03,0,,,,idle,100.0,22.45
255,1,1030,18.09,0,,,,idle,100.0,22.42
256,1,1034,18.06,0,,,,idle,100.0,22.39
257,1,1038,15.13,0,,,,idle,100.0,22.41
258,1,1042,17.54,0,,,,idle,100.0,22.44
259,1,1046,15.2,0,,,,idle,100.0,22.46
260,1,1050,18.43,0,,,,idle,100.0,22.49
261,1,1054,18.88,0,,,,idle,100.0,22.46
262,1,1058,18.21,0,,,,idle,100.0,22.39
263,1,1062,18.93,0,,,,idle,100.0,22.39
264,1,1066,17.79,0,,,,idle,100.0,22.41
265,1,1070,18.56,0,,,,idle,100.0,22.44
266,1,1074,17.58,0,,,,idle,100.0,22.46
267,1,1078,17.72,0,,,,idle,100.0,22.49
268,1,1082,17.55,0,,,,idle,100.0,22.48
269,1,1086,17.59,0,,,,idle,100.0,22.51
270,1,1090,17.79,0,,,,idle,100.0,22.53
271,1,1094,17.55,0,,,,idle,100.0,22.53
272,1,1098,18.47,0,,,,idle,100.0,22.55
273,1,1102,17.7,0,,,,idle,100.0,22.52
274,1,1106,15.37,0,,,,idle,100.0,22.54
275,1,1110,18.96,0,,,,idle,100.0,22.56
276,1,1114,18.1,0,,,,idle,100.0,22.59
277,1,1118,18.35,0,,,,idle,100.0,22.59
278,1,1122,18.04,0,,,,idle,100.0,22.61
279,1,1126,17.78,0,,,,idle,100.0,22.63
280,1,1130,17.48,0,,,,idle,100.0,22.63
281,1,1134,18.15,0,,,,idle,100.0,22.63
282,1,1138,17.77,0,,,,idle,100.0,22.65
283,1,1142,17.53,0,,,,idle,100.0,22.64
284,1,1146,18.14,0,,,,idle,100.0,22.67
285,1,1150,18.33,0,,,,idle,100.0,22.66
286,1,1154,17.7,0,,,,idle,100.0,22.69
287,1,1158,17.95,0,,,,idle,100.0,22.63
288,1,1162,18.16,0,,,,idle,100.0,22.65
289,1,1166,18.48,0,,,,idle,100.0,22.68
290,1,1170,19.24,0,,,,idle,100.0,22.67
291,1,1174,17.12,0,,,,idle,100.0,22.69
292,1,1178,17.67,0,,,,idle,100.0,22.72
293,1,1182,17.84,0,,,,idle,100.0,22.74
294,1,1186,18.1,0,,,,idle,100.0,22.76
295,1,1190,17.73,0,,,,idle,100.0,22.78
296,1,1194,18.21,0,,,,idle,100.0,22.81
297,1,1198,18.66,0,,,,idle,100.0,22.75
298,1,1202,18.48,0,,,,idle,100.0,22.77
299,1,1206,17.49,0,,,,idle,100.0,22.76
300,1,1210,17.77,0,,,,idle,100.0,22.76
301,1,1214,17.67,0,,,,idle,100.0,22.78
302,1,1218,15.49,0,,,,idle,100.0,22.8
303,1,1222,17.8,0,,,,idle,100.0,22.82
304,1,1226,17.64,0,,,,idle,100.0,22.82
